A/Louisiana/02/2021	2021-12-03	h3n2_flu	North America	United States	Human	EPI_ISL_8636532	Centers for Disease Control and Prevention	Louisiana Department of Health and Hospitals
A/Iowa/14/2021	2021-12-05	h3n2_flu	North America	United States	Human	EPI_ISL_8636540	Centers for Disease Control and Prevention	Iowa State Hygienic Laboratory
A/Iowa/15/2021	2021-12-06	h3n2_flu	North America	United States	Human	EPI_ISL_8636544	Centers for Disease Control and Prevention	Iowa State Hygienic Laboratory
A/Louisiana/01/2021	2021-12-03	h3n2_flu	North America	United States	Human	EPI_ISL_8636545	Centers for Disease Control and Prevention	Louisiana Department of Health and Hospitals
A/Kansas/04/2021	2021-12-01	h3n2_flu	North America	United States	Human	EPI_ISL_8636553	Centers for Disease Control and Prevention	Kansas Department of Health and Environment
A/Tennessee/16/2021	2021-12-04	h3n2_flu	North America	United States	Human	EPI_ISL_8636558	Centers for Disease Control and Prevention	Tennessee Department of Health Laboratory-Nashville
A/Michigan/22/2021	2021-12-02	h3n2_flu	North America	United States	Human	EPI_ISL_8636560	Centers for Disease Control and Prevention	Michigan Department of Community Health
A/Tennessee/15/2021	2021-12-04	h3n2_flu	North America	United States	Human	EPI_ISL_8636565	Centers for Disease Control and Prevention	Tennessee Department of Health Laboratory-Nashville
A/New_Hampshire/07/2021	2021-12-02	h3n2_flu	North America	United States	Human	EPI_ISL_8636568	Centers for Disease Control and Prevention	New Hampshire Public Health Laboratories
A/Tennessee/17/2021	2021-12-05	h3n2_flu	North America	United States	Human	EPI_ISL_8636578	Centers for Disease Control and Prevention	Tennessee Department of Health Laboratory-Nashville
A/Louisiana/04/2021	2021-12-04	h3n2_flu	North America	United States	Human	EPI_ISL_8636594	Centers for Disease Control and Prevention	Louisiana Department of Health and Hospitals
A/Tennessee/18/2021	2021-12-06	h3n2_flu	North America	United States	Human	EPI_ISL_8636595	Centers for Disease Control and Prevention	Tennessee Department of Health Laboratory-Nashville
A/Tennessee/20/2021	2021-12-06	h3n2_flu	North America	United States	Human	EPI_ISL_8636596	Centers for Disease Control and Prevention	Tennessee Department of Health Laboratory-Nashville
A/Iowa/13/2021	2021-12-03	h3n2_flu	North America	United States	Human	EPI_ISL_8636600	Centers for Disease Control and Prevention	Iowa State Hygienic Laboratory
A/New_York/10/2021	2021-12-08	h3n2_flu	North America	United States	Human	EPI_ISL_8636607	Centers for Disease Control and Prevention	New York State Department of Health
A/Florida/18/2021	2021-12-02	h3n2_flu	North America	United States	Human	EPI_ISL_8636609	Centers for Disease Control and Prevention	Florida Department of Health-Tampa
A/District_Of_Columbia/08/2021	2021-12-04	h3n2_flu	North America	United States	Human	EPI_ISL_8636610	Centers for Disease Control and Prevention	DC Public Health Lab
A/Rhode_Island/11/2021	2021-12-02	h3n2_flu	North America	United States	Human	EPI_ISL_8636617	Centers for Disease Control and Prevention	Rhode Island Department of Health
A/North_Carolina/09/2021	2021-12-02	h3n2_flu	North America	United States	Human	EPI_ISL_8636619	Centers for Disease Control and Prevention	North Carolina State Laboratory of Public Health
A/Rhode_Island/10/2021	2021-12-01	h3n2_flu	North America	United States	Human	EPI_ISL_8636622	Centers for Disease Control and Prevention	Rhode Island Department of Health
A/New_Jersey/02/2021	2021-12-06	h3n2_flu	North America	United States	Human	EPI_ISL_8636624	Centers for Disease Control and Prevention	New Jersey Department of Health & Senior Services
